# Corpus gates (review R4, 2026-08-27) — the bars and sets a round must hold; `recompile::gates` reads this
# file (war2_survey post-emit, recompile_check post-verdict, examples/corpus_gates.rs). One row per bar or TU:
#   gate: string_ops_bar | chain | switch_labels | guard_frame | guard_volatile
#   rule: `>=` the count is a FLOOR; `==` the count is exact; `no-switch` the TU prints no `switch (`;
#         `EXACT` the TU's verdict is EXACT
#   set_at: the round (and commit) the row was set at — a landing that legitimately moves a row re-stamps it here.
# string_ops_bar counts `memcpy(` / `memset(` / `memcmp(` / `strlen(` over the TUs in scope (the survey's scope
# = manifest kind=user). Set at w6a under kind=user (2,803 TUs); the same tree under the VA cut < 0x5191e
# (2,084 TUs, fable-b's rows/gates.txt) reads 62/0/12/13.
gate	key	rule	value	set_at
string_ops_bar	memcpy(	>=	126	w6a/1f83faa
string_ops_bar	memset(	>=	11	w6a/1f83faa
string_ops_bar	memcmp(	>=	22	w6a/1f83faa
string_ops_bar	strlen(	>=	24	w6a/1f83faa
chain	0x429d0	no-switch	-	w5c/8e8e956
chain	0x23c40	no-switch	-	w5c/8e8e956
chain	0x45ba0	no-switch	-	w5c/8e8e956
chain	0x28d98	no-switch	-	w5c/8e8e956
chain	0x21f30	no-switch	-	w5c/8e8e956
chain	0x14b44	no-switch	-	w5c/8e8e956
chain	0x18b98	no-switch	-	w5c/8e8e956
chain	0x3d470	no-switch	-	w5c/8e8e956
chain	0x12360	no-switch	-	w5c/8e8e956
chain	0x124ec	no-switch	-	w5c/8e8e956
chain	0x1812c	no-switch	-	w5c/8e8e956
chain	0x16e3c	no-switch	-	w5c/8e8e956
switch_labels	0x2d7fc	==	26	w5c/8e8e956
switch_labels	0x14620	==	12	w5c/8e8e956
switch_labels	0x122b0	==	5	w5c/8e8e956
switch_labels	0x488c8	==	5	w5c/8e8e956
switch_labels	0x4fbcc	==	12	w5c/8e8e956
switch_labels	0x13c74	==	4	w5c/8e8e956
switch_labels	0x13dc4	==	4	w5c/8e8e956
switch_labels	0x48604	==	3	w5c/8e8e956
switch_labels	0x4a640	==	3	w5c/8e8e956
switch_labels	0x14ac8	==	3	w5c/8e8e956
switch_labels	0x151ac	==	3	w5c/8e8e956
switch_labels	0x151e8	==	3	w5c/8e8e956
switch_labels	0x49a20	==	3	w5c/8e8e956
switch_labels	0x4822c	==	4	w5c/8e8e956
switch_labels	0x3ea40	==	4	w5c/8e8e956
switch_labels	0x4ccc4	==	6	w5c/8e8e956
switch_labels	0x29dcc	==	8	w5c/8e8e956
switch_labels	0x173b4	==	0	w5c/8e8e956
switch_labels	0x1201c	==	0	w5c/8e8e956
guard_frame	0x225e0	EXACT	-	w4/8dc191d
guard_frame	0x29af0	EXACT	-	w4/8dc191d
guard_frame	0x2c290	EXACT	-	w4/8dc191d
guard_frame	0x2d360	EXACT	-	w4/8dc191d
guard_frame	0x2d39c	EXACT	-	w4/8dc191d
guard_frame	0x33ad0	EXACT	-	w4/8dc191d
guard_frame	0x360a0	EXACT	-	w4/8dc191d
guard_frame	0x39e2c	EXACT	-	w4/8dc191d
guard_frame	0x4801c	EXACT	-	w4/8dc191d
guard_frame	0x4a4ac	EXACT	-	w4/8dc191d
guard_frame	0x4db68	EXACT	-	w4/8dc191d
guard_frame	0x4f860	EXACT	-	w4/8dc191d
guard_frame	0x4f8b0	EXACT	-	w4/8dc191d
guard_frame	0x50434	EXACT	-	w4/8dc191d
guard_frame	0x5115c	EXACT	-	w4/8dc191d
guard_frame	0x5118c	EXACT	-	w4/8dc191d
guard_volatile	0x125bc	EXACT	-	f695/38590d8
guard_volatile	0x12c00	EXACT	-	f695/38590d8
guard_volatile	0x14a98	EXACT	-	f695/38590d8
guard_volatile	0x15908	EXACT	-	f695/38590d8
guard_volatile	0x165f4	EXACT	-	f695/38590d8
guard_volatile	0x16610	EXACT	-	f695/38590d8
guard_volatile	0x1664c	EXACT	-	f695/38590d8
guard_volatile	0x166d0	EXACT	-	f695/38590d8
guard_volatile	0x166f0	EXACT	-	f695/38590d8
guard_volatile	0x224ac	EXACT	-	f695/38590d8
guard_volatile	0x34590	EXACT	-	f695/38590d8
guard_volatile	0x4c270	EXACT	-	f695/38590d8
guard_volatile	0x4f130	EXACT	-	f695/38590d8
guard_volatile	0x4ccc4	EXACT	-	f695/38590d8
